nom_clinique;docteur;telephone;email;site_web;adresse;code_postal;ville;categories;siret
Pro Coiffure Esthétique Antibes;;04 93 34 49 75;antibes@procoiffure.fr;http://www.procoiffure.fr;28 Boulevard Albert 1er, 06600 Antibes;06600;Antibes;;
Clinique Rhône Durance;;04 90 14 81 90;direction.rho@elsan.care;http://www.elsan.care/fr/clinique-rhone-durance;1750 che Lavarin, 84000 Avignon;84000;Avignon;;
Département Cardio Vasculaire de La Clinique Rhône Durance SCM;;04 90 14 81 90;;https://www.elsan.care/fr/clinique-rhone-durance/patients/cardiologie;1750 che Lavarin, 84000 Avignon;84000;Avignon;;
Centre Chirurgie Viscerale Cancerologique;;03 81 47 21 00;;https://www.chirurgie-digestive-besancon.fr/actualites/bienvenue-au-dr-maxime-laydi;33 Chemin des Tilleroyes, 25000 Besançon;25000;Besançon;;
Centre Bordelais de Chirurgie Maxillo-Faciale;;05 56 52 58 25;;;17 r Esprit des Lois, 33000 Bordeaux;33000;Bordeaux;;
Clinique Esthétique Aquitaine;;05 56 68 69 70;contact@clinique-esthetique-aquitaine.com;http://www.clinique-esthetique-aquitaine.com;49 bd Georges Pompidou, 33000 Bordeaux;33000;Bordeaux;;
La Confidentielle Maison d'Esthétique;;05 57 99 90 41;contact@la-confidentielle-esthetique.fr;https://la-confidentielle-esthetique.fr/;32 r Pont de la Mousque, 33000 Bordeaux;33000;Bordeaux;;
Centre Médecine Esthetique et Traitements Laser;;01 41 10 10 00;info@centre-esthetique-paris.fr;https://www.centre-esthetique-paris.fr;55 bd Jean Jaurès, 92100 Boulogne Billancourt;92100;Boulogne Billancourt;;
Institut Européen De Chirurgie Esthétique Et Plastique;;01 46 05 83 65;;http://chirurgie-esthetique.fr;14 Rue Anna Jacquin, 92100 Boulogne-Billancourt;92100;Boulogne-Billancourt;;
Cabinet de Chirurgie Plastique et Esthétique Armony;;02 98 34 90 05;secretariat.boloorchi@gmail.com;http://www.boloorchi-chirurgie-esthetique.com;375 r Ernestine de Trémaudan, 29200 Brest;29200;Brest;;
Clinique Keraudren;;02 98 34 29 53;;;375 r Ernestine de Trémaudan, 29200 Brest;29200;Brest;;
Clinique Pasteur-Lanroze;;02 98 31 32 33;;http://www.clinique-pasteur-brest.com;26 Rue Auguste Kervern, 29200 Brest;29200;Brest;;
HAD du Ponant Site Clinique Grand Large;;02 98 34 36 38;contact@elsan.care;https://cliniquepasteurlanroze.vivalto-sante.com/votre-retour-a-domicile/hospitalisation-a-domicile/;37 r St Vincent de Paul, 29200 Brest;29200;Brest;;
Clinique des Champs Elysées de Caen - Médecine esthétique;;02 19 13 90 61;contact.caen@crpce.com;https://www.crpce.com/clinique-esthetique-caen?utm_source=gmb&utm_medium=organic&utm_campaign=local_listing;10 bd Alliés, 14000 Caen;14000;Caen;;
Cabinet de Chirurgie Maxillo-Faciale Menu Frédéric;;09 67 43 51 59;fredericmenu06@gmail.com;;4 r Lecerf, 06400 Cannes;06400;Cannes;;
Centre de Dermatologie Esthétique et Lasers;;04 93 99 99 88;cyberdoc.cannes@gmail.com;;24 Avenue Jean de Lattre de Tassigny, 06400 Cannes;06400;Cannes;;
Clinique des Champs Elysées de Cannes - Médecine esthétique;;04 85 92 98 30;clinique@crpce.com;https://www.crpce.com/clinique-esthetique-cannes?utm_source=gmb&utm_medium=organic&utm_campaign=local_listing;125 r Antibes, 06400 Cannes;06400;Cannes;;
Nancy Esthétique;;07 87 73 04 30;hartz.nancy@yahoo.fr;;8 r Eglise, 54300 Chanteheux;54300;Chanteheux;;
Clinique de l'Esthetique;;01 56 29 28 22;;http://clinique-de-l-esthetique.fr;95 Rue de Paris, 94220 Charenton-le-Pont;94220;Charenton-le-Pont;;
Cabinet ORL 56 république Dr Boudet Stéphane;;04 73 98 75 57;secretaire@orl-boudet.fr;http://www.clinique-du-sein.fr;1 r Simmer, 63100 Clermont Ferrand;63100;Clermont Ferrand;;
Cathy Esthétique;;06 88 46 21 28;;;4 pl Delille, 63000 Clermont Ferrand;63000;Clermont Ferrand;;
Chirurgiens Dentistes Helmreich Poiseau Boeuf;;04 73 91 48 06;;http://scp-helmreich-gold-poiseau.chirurgiens-dentistes.fr;31 Avenue Charras, 63000 Clermont-Ferrand;63000;Clermont-Ferrand;;
Docteur Weiss Chirurgie Esthétique;;01 49 97 79 12;;http://www.ccepo.com;53 r Victor Hugo, 92400 Courbevoie;92400;Courbevoie;;
Selarl Menir Assuied Chirurgiens Dentiste;;01 75 84 06 03;;http://dr-menir-assuied-valerie-chirurgiens-dentistes.fr;2 Place des Reflets, 92400 Courbevoie;92400;Courbevoie;;
Clinique des Champs Elysées Dijon - Médecine esthétique;;03 73 55 02 66;contact.dijon@crpce.com;https://www.crpce.com/clinique-esthetique-dijon?utm_source=gmb&utm_medium=organic&utm_campaign=local_listing;76 Rue de la Liberté, 21000 Dijon;21000;Dijon;;
Centre Dermatologique Esthétique et Laser des Dct Gral et Perrillat;;04 76 43 31 61;;http://www.centre-dermatologique-laser.fr;26 r Colonel Dumont, 38000 Grenoble;38000;Grenoble;;
Chirurgiens Dentistes Reymond SELARL;;04 38 37 01 02;;;5 r Vauban, 38000 Grenoble;38000;Grenoble;;
Clinique du Dauphiné;;04 38 02 00 96;;;32 Rue des Berges, 38000 Grenoble;38000;Grenoble;;
Conseil Ordre Chirurgiens Dentistes;;04 76 44 56 08;;;18 bd Agutte Sembat, 38000 Grenoble;38000;Grenoble;;
Chirurgien-dentiste Borjon-raharison;;05 46 34 53 48;;;147 Bis av Jean Guiton, 17000 La Rochelle;17000;La Rochelle;;
Dryades Cabinet Chirurgiens-Dentistes;;05 46 34 87 70;;;34 r Cerf Volant, 17000 La Rochelle;17000;La Rochelle;;
Service CHIRURGIE MAXILLO-FACIALE-ODONTOLOGIE Hôpitaux La Rochelle - Ré - Aunis;;05 46 45 51 80;;https://www.ch-larochelle.fr/service/les-services-de-soins/chirurgie/chirurgie-maxillo-faciale/;r Doct Schweitzer, 17000 La Rochelle;17000;La Rochelle;;
Service CHIRURGIE ORTHOPÉDIQUE ET TRAUMATOLOGIQUE Hôpitaux La Rochelle - Ré - Aunis;;05 46 45 51 70;;;r Doct Schweitzer, 17000 La Rochelle;17000;La Rochelle;;
Service CHIRURGIE UROLOGIQUE Hôpitaux La Rochelle - Ré - Aunis;;05 46 45 51 58;;https://www.ch-larochelle.fr/service/les-services-de-soins/chirurgie/chirurgie-urologique/;r Doct Schweitzer, 17000 La Rochelle;17000;La Rochelle;;
Service CHIRURGIE VASCULAIRE ET THORACIQUE Hôpitaux La Rochelle - Ré - Aunis;;05 46 45 51 73;;https://www.ch-larochelle.fr/service/les-services-de-soins/chirurgie/chirurgie-vasculaire-et-thoracique/;r Doct Schweitzer, 17000 La Rochelle;17000;La Rochelle;;
Service de Chirurgie Viscérale, Digestive, Endocrinienne et Bariatrique CH la Rochelle-Ré-Aunis;;05 46 45 51 66;;https://www.ch-larochelle.fr/service/les-services-de-soins/chirurgie/chirurgie-viscerale-et-digestive/;r Doct Schweitzer, 17000 La Rochelle;17000;La Rochelle;;
Clinique des Ormeaux;;02 32 74 32 74;;http://www.ormeaux.com;76600 Le Havre;76600;Le Havre;;
Manon Esthetique Lh;;06 61 95 03 83;;;51 Rue Paul Doumer, 76600 Le Havre;76600;Le Havre;;
Nathalie Esthétique;;02 35 43 38 23;contact@nathalie-esthetique.com;http://www.nathalie-esthetique.com;62 Rue Jules Masurier, 76600 Le Havre;76600;Le Havre;;
Prolians Plastiques Le Havre;;02 35 26 29 50;;http://www.proliansplastiques.fr;126 r Amerigo Vespucci, 76600 Le Havre;76600;Le Havre;;
Salon Paps Coiffure Esthétique;;02 35 43 52 65;salonpaps@gmail.com;;37 Rue Racine, 76600 Le Havre;76600;Le Havre;;
Centre Medico Chirurgical du Mans;;02 43 78 38 38;communication.pss@elsan.care;http://www.elsan.care/pole-sante-sud;28 r Guetteloup, 72100 Le Mans;72100;Le Mans;;
Centre Médico Chirurgical Du Mans;;02 43 78 45 90;;;28 Rue de Guetteloup, 72100 Le Mans;72100;Le Mans;;
Clinique Du Tertre Rouge;;02 43 78 59 70;;http://www.polesantesud.fr;62 Rue de Guetteloup, 72100 Le Mans;72100;Le Mans;;
Clinique Victor Hugo;;02 43 47 94 94;;http://www.cjb72.org;14 B Rue Victor Hugo, 72100 Le Mans;72100;Le Mans;;
Clinique du Pré;;02 43 77 57 75;;http://www.cliniquedupre.com/;13 Avenue René Laennec, 72000 Le Mans;72000;Le Mans;;
Elsan Clinique Victor Hugo;;02 55 46 37 00;contact.cvh@elsan.care;https://www.elsan.care/fr/clinique-victor-hugo;66 r Degré, 72000 Le Mans;72000;Le Mans;;
Espace Bel Air Formation Coiffure et Esthétique;;02 43 75 78 24;contact@ecoleespacebelair.fr;http://www.ecoleespacebelair.fr;239 av Rhin et Danube, 72000 Le Mans;72000;Le Mans;;
Sarth' Esthétique Formation;;;;;185 Rue Henri Champion, 72100 Le Mans;72100;Le Mans;;
Syl'Esthétique;;06 37 06 17 08;;;52 r Gustave Courbet, 72100 Le Mans;72100;Le Mans;;
Esthetique Center;;05 55 57 51 39;contact@esthetic-center.com;https://www.beautysuccess.fr/nos-points-de-vente/le-vigen/1520/;la Tour, 87110 Le Vigen;87110;Le Vigen;;
Cabinet Madar Levallois;;01 47 39 53 46;secretariat@cabinetmadar.fr;http://cabinetmadar.fr/;22 r Alsace, 92300 Levallois Perret;92300;Levallois Perret;;
Centre Médical Esthetique Shaza;;01 41 40 64 03;;;67 r Voltaire, 92300 Levallois Perret;92300;Levallois Perret;;
Clinique des Champs Elysées Levallois - Médecine esthétique;;01 86 22 22 92;contact.levallois@crpce.com;https://www.crpce.com/clinique-esthetique-levallois?utm_source=gmb&utm_medium=organic&utm_campaign=local_listing;38 Rue Victor Hugo, 92300 Levallois-Perret;92300;Levallois-Perret;;
Clinique Omorfia;;03 20 78 66 53;omorfia59@gmail.com;https://www.cliniqueesthetiqueomorfia.com/;129 Rue Royale, 59800 Lille;59800;Lille;;
Clinique des Champs Elysées Lille - Médecine esthétique;;03 59 82 85 50;contact.lille@crpce.com;https://www.crpce.com/clinique-esthetique-lille?utm_source=gmb&utm_medium=organic&utm_campaign=local_listing;52 Rue des Ponts de Comines, 59800 Lille;59800;Lille;;
Maelis Centre Laser Lille;;03 66 76 94 31;lille@maelis-centrelaser.com;https://maelis-centrelaser.com/epilation-laser/lille?utm_source=pagesjaunes&utm_medium=referral&utm_campaign=epilation_laser&utm_content=lille;156 r Molinel, 59800 Lille;59800;Lille;;
Lba Esthétique;;07 83 41 26 22;la-beaute-est-un-art@outlook.fr;;1 r Nazareth, 87000 Limoges;87000;Limoges;;
Service de Chirurgie Pédiatrique CHU Limoges;;05 55 05 64 21;chir.pediatrique@chu-limoges.fr;;8 Avenue Dominique Larrey, 87000 Limoges;87000;Limoges;;
Rev'esthétique;;02 41 57 03 09;revesthetique@orange.fr;;Rue du Roi René, 49250 Loire-Authion;49250;Loire-Authion;;
Cabinet Chirurgiens Dentistes;;04 78 62 84 08;contact@lestudiodentaire.fr;http://dr-touati-herve.chirurgiens-dentistes.fr/;4 bd Eugène Deruelle, 69003 Lyon;69003;Lyon;;
Centre Esthétique Roosevelt le 46;;04 78 24 47 68;centrele46@gmail.com;http://www.centre-esthetique-roosevelt.fr;46 Cours Franklin Roosevelt, 69006 Lyon;69006;Lyon;;
Centre Médical & Esthétique des Canuts;;04 78 08 93 63;centremedicaldelacroixrousse@gmail.com;https://centremedicalcroixrousse.fr;11 r Dumont d'Urville, 69004 Lyon;69004;Lyon;;
Centre Médico Esthetique Duquesne;;04 78 94 37 79;info@cliniqueesthetique.com;http://www.cliniqueesthetique.com;37 r Duquesne, 69006 Lyon;69006;Lyon;;
Centre de Médecine Esthétique Alfa Laser Lyon - Injections et Lasers;;04 78 52 70 51;lyon@alfa-laser.center;https://alfa-laser.com/centre-medecine-esthetique-lyon/;90 Cours Vitton, 69006 Lyon;69006;Lyon;;
Clinique des Champs Elysées Lyon - Médecine esthétique;;04 26 78 59 59;contact.lyon@crpce.com;https://www.crpce.com/clinique-esthetique-lyon?utm_source=gmb&utm_medium=organic&utm_campaign=local_listing;53 bd Brotteaux, 69006 Lyon;69006;Lyon;;
Institut Chirurgie Esthétique Lyonnais ICEL;;04 72 74 40 88;;;14 pl Jules Ferry, 69006 Lyon;69006;Lyon;;
Parc Laser Vision;;04 72 44 88 88;parclaservision@cliniqueduparclyon.com;http://www.parclaservision.fr;1 A r Jean Novel, 69006 Lyon;69006;Lyon;;
Selarl Chirurgiens Dentistes Part Dieu;;04 78 62 84 08;contact@lestudiodentaire.fr;http://dr-touati-herve.chirurgiens-dentistes.fr;4 bd Eugène Deruelle, 69003 Lyon;69003;Lyon;;
Clinique De Chirurgie Esthétique;;03 20 80 54 54;secretariat@cliniqueclemenceau.fr;https://www.cliniqueclemenceau.fr;179 bd Georges Clemenceau, 59700 Marcq en Baroeul;59700;Marcq en Baroeul;;
Clinique Confidence;;03 20 15 20 93;hello@cliniqueconfidence.com;http://cliniqueconfidence.com;278 Boulevard Clemenceau, 59700 Marcq-en-Baroeul;59700;Marcq-en-Baroeul;;
Centre De Médecine Esthétique Et Laser;;04 65 58 92 06;contact@cmel-marseille.fr;http://cmel-marseille.fr;21 Promenade Georges Pompidou, 13008 Marseille;13008;Marseille;;
Centre Laser Dermatologique Et Esthetique;;04 96 20 34 40;contact@dermatologie-esthetique-marseille.com;http://clde.fr;3 bd Lord Duveen, 13008 Marseille;13008;Marseille;;
Clinique Phénicia;;04 91 92 12 92;;;29 Rue Louis Astruc, 13005 Marseille;13005;Marseille;;
Clinique des Champs Elysées Marseille - Médecine esthétique;;04 12 01 04 89;contact.marseille@crpce.com;https://www.crpce.com/clinique-esthetique-marseille?utm_source=gmb&utm_medium=organic&utm_campaign=local_listing;11 av Mazargues, 13008 Marseille;13008;Marseille;;
Dr Sébastien PROST médecine esthétique;;04 42 16 33 29;;http://drsebastienprost.fr;263 av St Antoine, 13015 Marseille;13015;Marseille;;
Meg'Esthetique;;04 91 06 37 55;;;Allée des Deux Pins, 13004 Marseille;13004;Marseille;;
Société de Chirurgie Dentaire du Dr Claire RicheIme;;04 91 25 52 13;docteurclairerichelme@gmail.com;https://www.doctolib.fr/dentiste/marseille/claire-richelme;33 Allées Turcat-Méry, 13008 Marseille;13008;Marseille;;
Cabinet de Chirurgie Esthetique Clary;;;;;97 r Claude Bernard, 57070 Metz;57070;Metz;;
Chirurgien Dentiste Du Sourire;;03 87 35 85 05;;http://cabinetcds.com;3 r Edouard Belin, 57070 Metz;57070;Metz;;
Clinique Claude-Bernard;;03 87 39 66 66;contact@elsan.care;https://www.elsan.care/fr/hopital-clinique-claude-bernard-metz;97 r Claude Bernard, 57070 Metz;57070;Metz;;
Clinique Tivoli;;03 87 52 32 60;;http://www.ch-jury.fr;24 B Rue de Tivoli, 57070 Metz;57070;Metz;;
Hôpital Clinique Claude Bernard;;03 87 39 60 01;laetitia.borre@elsan.care;http://elsan.care/fr/hopital-clinique-claude-bernard-metz;97 r Claude Bernard, 57070 Metz;57070;Metz;;
COEM - Cabinet Ophtalmologique & Esthétique de Montpellier;;04 67 17 46 19;coem@mcophtalmo.com;https://coem-esthetique.com/;335 r Louis Lépine, 34000 Montpellier;34000;Montpellier;;
Centre Laser & Esthetique Nadal Jeremy Andre;;;;;266 pl Ernest Granier, 34000 Montpellier;34000;Montpellier;;
Centre Laser & Esthétique;;04 34 00 04 75;skinea.montpellier@gmail.com;https://www.skinea-montpellier.fr/;266 pl Ernest Granier, 34000 Montpellier;34000;Montpellier;;
Clinique des Champs Elysées de Caen - Médecine esthétique;;04 48 20 02 35;contact.montpellier@crpce.com;https://www.crpce.com/clinique-esthetique-montpellier?utm_source=gmb&utm_medium=organic&utm_campaign=local_listing;8 Boulevard Ledru-Rollin, 34000 Montpellier;34000;Montpellier;;
Thomas Silhol Chirurgie Plastique Et Esthétique;;04 99 58 86 61;;http://dr-silhol-esthetique.com;31 bd Jeu de Paume, 34000 Montpellier;34000;Montpellier;;
Asks Esthetique;;03 89 42 74 11;;;6 Rue des Juifs, 68200 Mulhouse;68200;Mulhouse;;
Clinique Du Diaconat-Roosevelt;;03 89 32 55 00;;http://www.diaconat-mulhouse.fr;14 Boulevard Roosevelt, 68200 Mulhouse;68200;Mulhouse;;
SELARL Chirurgie Main Membre Superieur;;03 89 42 55 66;;https://www.sosmain-mulhouse.fr/accueil;8 bd Prés Roosevelt, 68200 Mulhouse;68200;Mulhouse;;
Cabinet Dentaire Odontas;;03 83 32 42 70;odontas.assistante@odontas.fr;http://odontas.fr/;6 av Gén Leclerc, 54000 Nancy;54000;Nancy;;
Centre Laser Calliopé;;03 83 23 16 17;contact@centre-laser-calliope.fr;https://centre-laser-calliope.fr/;160 A r St Dizier, 54000 Nancy;54000;Nancy;;
Centre Esthétique de Nantes;;02 40 18 32 32;greffedecheveux@live.fr;http://www.medecineesthetiquedenantes.fr;49 r Jules Grandjouan, 44300 Nantes;44300;Nantes;;
Centre Médical Esthétique;;02 85 52 10 70;contact@centre-medical-esthetique-nantes.com;https://www.centre-medical-esthetique-nantes.com;20 r Crébillon, 44000 Nantes;44000;Nantes;;
Le Rayon Vert Esthétique et Laser;;07 59 58 58 15;rayonvertnantes@gmail.com;https://rayon-vert-nantes.fr/;13 r Cher, 44000 Nantes;44000;Nantes;;
Chirurgien Dentistes Clé A Dent;;01 46 37 40 50;;;152 av Charles de Gaulle, 92200 Neuilly sur Seine;92200;Neuilly sur Seine;;
Clinique Neuilly Esthétique;;01 46 40 66 60;contact@clinique-neuillyesthetique.fr;https://www.clinique-neuillyesthetique.fr/;109 bis Avenue Charles de Gaulle, 92200 Neuilly-sur-Seine;92200;Neuilly-sur-Seine;;
Centre Médico-Chrurgical Esthétique Meyerbeer;;04 93 88 00 20;;https://www.esthetique-meyerbeer.com/;31 r Meyerbeer, 06000 Nice;06000;Nice;;
Clinique Mozart;;04 93 82 81 00;;http://www.cliniquemozart.fr;Avenue Auber, 06000 Nice;06000;Nice;;
Docteur Thierry Besins - Chirurgien Esthetique Nice;;04 93 81 76 32;contact@besins.net;http://www.docteurbesins.com;2 r Verdi, 06000 Nice;06000;Nice;;
Dumas-gasnier Chirurgie Esthetique;;04 97 13 82 17;;;8 Rue Maccarani, 06000 Nice;06000;Nice;;
Sud Esthétique Médical;;04 23 32 33 25;contact@sudesthetiquemedical.com;https://www.sudesthetiquemedical.com;10 Avenue Félix Faure, 06000 Nice;06000;Nice;;
Clinique 55;;04 48 19 19 09;dr.b.henault@gmail.com;http://www.henault-chirurgie-esthetique.fr;55 Allée de l'Argentine, 30900 Nîmes;30900;Nîmes;;
Chirurgien Dentiste Jaffredo;;02 38 66 07 78;;;95 av Mouillère, 45100 Orléans;45100;Orléans;;
Chirurgiens Dentistes Dr Perus SELARL;;02 38 53 79 91;;;1 r Bannier, 45000 Orléans;45000;Orléans;;
Clinique Laser Vision Orléans;;02 42 04 04 20;secretariat@clvo.fr;http://www.clvo.fr;4 Rue des Fauchets, 45000 Orléans;45000;Orléans;;
Now Esthétique;;01 87 22 23 76;;https://new.now-esthetique.fr/now-orleans;125 r Bannier, 45000 Orléans;45000;Orléans;;
Cabinet de Chirurgie Esthétique Plasticiens Paris;;09 52 70 42 57;Jennyfer@plasticiens-paris.fr;http://plasticiens-paris.com;21 av Eylau, 75116 Paris;75116;Paris;;
Centre Laser Murano Paris 6e;;01 43 54 12 33;centremurano@yahoo.com;https://www.centre-laser-murano.fr;52 bd St Michel, 75006 Paris;75006;Paris;;
Centre d'Esthétique Médicale d'Ile de France;;01 42 53 20 20;docteur.spitz@cemif.fr;http://www.cemif.fr;106 av Kléber, 75116 Paris;75116;Paris;;
Chirurgie Esthetique Rive Droite Paris Cerdpe;;;;;23 av Mac Mahon, 75017 Paris;75017;Paris;;
Chirurgie Esthétique et Plastique Champs Elysées;;01 42 25 16 31;;http://www.docteurhunsinger.com;7 r Bayard, 75008 Paris;75008;Paris;;
Chirurgie Plastique Reconstructrice et Esthétique;;01 56 09 58 71;;;20 r Leblanc, 75015 Paris;75015;Paris;;
Chirurgie Plastique Theodore De Banville;;;;;76 av Raymond Poincaré, 75116 Paris;75116;Paris;;
Chirurgie Plastique Theodore de Banvil Cptb;;;;;21 Rue Théodore de Banville, 75017 Paris;75017;Paris;;
Clinique Capillaire Paris Étoile;;01 56 64 03 04;cliniqueesthetiqueparisetoile@gmail.com;https://www.cliniqueesthetiqueparisetoile.fr;12 Rue Beaujon, 75008 Paris;75008;Paris;;
Clinique De Chirurgie Esthétique Eiffel;;01 53 70 05 12;;;6 sq Pétrarque, 75116 Paris;75116;Paris;;
Docteur Luchian Chirurgie Plastique;;;;http://drluchian.com;61 av Franklin D Roosevelt, 75008 Paris;75008;Paris;;
Docteur Monnier Chirurgie Esthetique;;;;;78 av Raymond Poincaré, 75116 Paris;75116;Paris;;
France Europe Esthétique;;01 40 70 11 77;;;25 av Pierre 1er de Serbie, 75116 Paris;75116;Paris;;
Medespoir Esthetique Turquie;;01 84 80 04 00;;;r Lacaze, 75014 Paris;75014;Paris;;
Médecins Esthétiques;;01 45 44 77 77;rdv.esthetique.paris@gmail.com;https://medecins-esthetiques-paris.com/contact/#;151 Rue de Rennes, 75006 Paris;75006;Paris;;
Selarl du Dr Petrea Esthetique;;;;;5 Bis r Dôme, 75116 Paris;75116;Paris;;
Société Française de Chirurgie Plastique et Esthétique de la Face et du Cou;;01 42 16 31 04;;;47 bd Hôpital, 75013 Paris;75013;Paris;;
Chirurgie Viscero P;;;;;40 bd Alsace Lorraine, 64000 Pau;64000;Pau;;
Clinique Les Jeunes Chenes - emeis;;05 59 02 19 20;;https://www.emeis.fr/fr/nos-cliniques-smr/nouvelle-aquitaine/pyrenees-atlantiques/pau/clinique-jeunes-chenes;21 Bis av Europe, 64000 Pau;64000;Pau;;
Polyclinique Pau Pyrénées;;05 59 14 54 54;clinique.marzet@marzet.fr;https://polycliniquepaupyrenees.fr/;40 Boulevard d'Alsace-Lorraine, 64000 Pau;64000;Pau;;
Clinique De Posturologie;;04 68 22 83 83;;http://www.cliniquedeposturologie.fr;220 Avenue Éole, 66100 Perpignan;66100;Perpignan;;
Viv'Esthétique;;04 68 85 00 44;vivesthetique@gmail.com;https://www.viv-esthetique.fr/;17 r Valentin Magnan, 66000 Perpignan;66000;Perpignan;;
Clinique des Champs Elysées de Reims - Médecine esthétique;;03 79 45 00 04;contact.reims@crpce.com;https://www.crpce.com/clinique-esthetique-reims?utm_source=gmb&utm_medium=organic&utm_campaign=local_listing;1 r Arbalète, 51100 Reims;51100;Reims;;
Ordre Des Chirurgiens Dentistes Conseil Départemental De La Marne;;03 26 04 22 24;marne@oncd.org;http://www.orcdge.fr/marne.html;r Alberto Santos Dumont, 51100 Reims;51100;Reims;;
Clinique des Champs Elysées Rennes - Médecine esthétique;;02 57 67 02 87;contact.rennes@crpce.com;https://www.crpce.com/clinique-esthetique-rennes?utm_source=gmb&utm_medium=organic&utm_campaign=local_listing;11 r Monnaie, 35000 Rennes;35000;Rennes;;
CERDPE Chirurgie Esthétique;;01 41 31 31 26;;https://laser-esthetique-valdeurope.com/roissy-en-brie;16 r Antoine Lavoisier, 77680 Roissy en Brie;77680;Roissy en Brie;;
Clinique Mathilde;;02 32 81 10 10;;http://www.clinique-mathilde.fr;76000 Rouen;76000;Rouen;;
Clinique Mathilde 2 Dr Gérard Di Mascio;;02 35 52 39 19;coddoc.gdm@gmail.com;http://www.bilan-postural.fr;4 r Emendreville, 76100 Rouen;76100;Rouen;;
Clinique Saint-Hilaire;;02 35 08 66 00;;http://www.clinique-sainthilaire.fr;2 Place Saint-Hilaire, 76000 Rouen;76000;Rouen;;
Clinique de l'Europe;;02 32 18 10 00;;http://www.clinique-europe.fr;Impasse Massard, 76100 Rouen;76100;Rouen;;
Laboratoire de Biologie Clinique;;02 32 08 22 06;communication@chb.unicancer.fr;https://www.becquerel.fr/le-parcours-de-soins/services-de-diagnostic/departement-de-biopathologie/laboratoire-de-biologie-clinique/;1 r Amiens, 76000 Rouen;76000;Rouen;;
Service de Chirurgie Maxillo-faciale, Orale, Plastique et Esthétique du CHU de Saint-Etienne;;04 77 12 77 95;;https://www.chu-st-etienne.fr/;av Albert Raimond, 42270 Saint Priest en Jarez;42270;Saint Priest en Jarez;;
Nancy Esthétique;;06 82 34 27 25;contact@nancy-esthetique.fr;http://www.nancy-esthetique.fr;77 rte Epinouze, 26140 Saint Rambert d'Albon;26140;Saint Rambert d'Albon;;
Clinique Du Val d'Or;;01 47 11 77 11;;http://www.clinique-valdor.fr;14 Rue Pasteur, 92210 Saint-Cloud;92210;Saint-Cloud;;
Bravaat - Clinique Esthétique;;02 99 23 33 23;contact@bravaat.fr;https://bravaat-esthetique.fr/;6 Boulevard de la Boutière, 35760 Saint-Grégoire;35760;Saint-Grégoire;;
Unite de Chirurgie Plastique;;01 49 76 91 29;;;48 Rue d'Alsace-Lorraine, 94100 Saint-Maur-des-Fossés;94100;Saint-Maur-des-Fossés;;
Clinique des Yeux à Saint-Étienne;;0 805 298 010;;https://www.clinique-des-yeux.fr/saint-etienne/;22 Avenue Denfert-Rochereau, 42000 Saint-Étienne;42000;Saint-Étienne;;
Mertens Alexandre- chirurgien esthétique;;04 78 65 98 64;docteur.mertens@gmail.com;http://www.docteur-mertens.fr/;575 r Doct Trenel, 69560 Sainte Colombe;69560;Sainte Colombe;;
Centre Médical Laser MD;;03 88 61 62 27;contact@lasermd.fr;http://www.lasermd.fr;8 r Londres, 67000 Strasbourg;67000;Strasbourg;;
